bagoĺa;palica,
bagoľar;ľavák
bagoĺar;kto žuje tabák,
bagov;tabák
bagov;tabak
bagovac;žuť bagov, bagoĺ,
bagoviar;tuhý fajčiar
bagovjar;fajciar
bagovňar;tuhý fajčiar
bagovnička;tabatierka
bagozovac;fajčiť
baguľa;palica
baguĺa;palica na podopieran
bahac;tušiť, cítiť,
bahńa;?
bahniatka;jahňady
bahňički;bahniatka
bahno;?
bahnosci;?
bahnuc;túžiť po niečom
bahra;bahro
bahraa;mlynské koleso
bahrak;hoblík na bahre
bahro;časť
bahro;časť, oblúk kolesa
bahro, bahra;čast dreveného kola
baišče;eštežečo
bajac;rozprávať nepravdy,
bajak;nie, odmietnutie
bajako;no určite
bajako;nie, prejav nesuhlas
bajcovac;moriť
bajda;bájka, povedačky,
bajdac;vyrušovať
baječki;zelené výhonky
bajkalesy;bokombrada
bajki;zelené výhonky
bajlaga;zaražka
bajočka;bajka, povedačka,
bajočko;popri paľcu
bajonet;vojenský nôž
bajonet;bodák
bajprave;vyjadruje prekvapeni
bajsikeĺ;bicykel,
bajta;valček
bajtac;nešikovne pracovať,
bajtačka;označenie výsledku
bajtavi;nešikovný,neschopný
bajtavy;čaptavý,nešikovný
bajtek;evanielický farár,
bajtka;povedačka, bajka,
bajtkańa;pať bajtek,
bajtki;povedačky,
bajtko;evanielický farar,
bajtľik;batôžtek
bajus;fúz
bajusače;bajusači
bajusati;fúzatý
bajusatii;aj fúzatý,
bajusatý;fuzatý
bajusi;fúzi
bajuskati;fúzkatý
bajuski;fúziky
bajustarto;sieťka na fúzy
bajusy;fúzy
bajuz;fúzy,
bajuzač;fúzač
bajuzati;fúzatý
bajuzek;chlp, vlákno, vlas,
bajuzi;fúzy
bajuzki;fúzy,
bajuzočki;fúziky
bajuzy;fuzy
bajuźe;ostie na klasoch
bakac;kričať, hulákať,
bakaľar;flek na niečom
bakaĺar;packa, škvrna,
bakaĺare;packy, škvrny,
bakaľarik;nedovzdelanec
bakalia;huba práchnovec
bakalij;stromová huba
bakane;škarede
bakani;špinavý
bakany;škaredý
bakecik;kanvička
bakelit;pozri popis
bakeĺo;koľko s dôrazom
baker;out prie hre s pigou
bakeraj;zákusok
baket;plechová kanva
bakombari;bokombrady
bakombarki;kučerave vlasi- vlna
bakombratki;zarastok
baksa;skrinka z dreva
bakšiš;úplatok,prepitné
bakuľa;ohnutá palica
bakuľar;peňaženka
bakuľečka;palička
bakuľka;palica
bakuľkach;bakuliach
bakus;žráč, žrút, jedák,
bál;zábava
bal;zabava, tanec,
baľa;lopta
balachac;podobne k balamucic
balachar;táraj,
baĺaci;určený na balenie
balag;?
balagovac;rozpravať
balagovac;ponevierať sa
balagovacc;pozri popis
baĺaja;?
balakac;robit hurhaj
balakacc;miasť, zavádzať,
balakar;klamár, táraj,
balakuja;robia rámus
balamuca;klamú
balamuceńe;vytvárať klam,
balamucic;vodiť za nos
balamucic;klamať, komplikovať
balamucicc;nahovárať, blázniť,
balamuciccc;miasť, zavádzať,
balamucila;balamutila
balamuciš;zavádzaš
balamuta;nepríjemnosť
balamuta;?
balamuta;komplikácia
balamutar;táraj
balamutareňe;ohlupovanie
balamutiť;ohlupovať
balamutovac;vytvárať klam,
baľaski;miesto v kostole pre
baĺašik;križalka zemiaka
baĺbier;holič
baľbír;holič
baľbírka;kadernička
balchac;tiecť, vytekať,
balcina;sekera
balcinka;sekera
balčec;blčať, blkotať,
baldachi;baldachýn,
baĺeńe;balenie
baľi;báli
baĺiček;balíček
baľičok;malý balík
baĺičokk;balík, mel.
baĺin;ryba jalec
baĺka;zemiak
baĺkaa;väčšia nádoba
balkaňe;halušky
ball;pozri popis
baľodžar;pať baĺogar
balodžej;ľavák
balodžejka;ľavá ruka
baľoga;ľavačka
baĺoga;ľavá ruka
baloga;ľava ruka,
balogač;ľavák
balogače;ľaváci
baľogačka;ľaváčka
baľogar;ľavák
balogar;ľavák
baľogár;ľavák
baĺogar;ľavák
baľogarka;ľaváčka
balogaš;ľavak
balogejza;ľaváčka
balogovac;ponevierať sa
baloňak;bicykel
baloňak;ľahký plášť
balovac;zabávať sa,
balta;sekera
baltac;trepať, sekať,
baltečka;śekerečka
baltička;sekera
baltka;sekerka,
baltovka;sekera
balušic;vyrušovať hrmotať
balvan;skála
baľvas;ceruza
baľvier;holíč
balvir;holič
baľvír;holič
baľvir;holič
baĺvir;holič
baĺvire;holiči
baĺvirečka;holička mel.
baĺvireń;holičstvo
baĺviric;prevádzkovať holičst
baĺvirka;holička
baĺvirovac;strihať, holiť,
bam;bojím sa
bambeľ;brucho
bambeľnatý;bruchatý
bambi;pery
bambuch;brucho (veľké)
bambuch;chlapec, dieťa
bambuch bambušek;zvierací žalúdok,
bambuchačka;vlnená šatka
bambuchačkaa;veľká teplá šatka,
bambuchaćka;vlnena pokryvka
bambuchati;bachratý, bruchatý
bambuchi;črevá,
bambuchy;čreva
bambuh;zlé neposlušné dieťa
bambušek;veľká teplá šatka
bańa;kameňolom,
baňak;konvička
